#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B282AD
#Date Time: 2025-05-01 13:09:37.891
#Sample rate: 2.77778e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Channel 2 (V)
-0.001474520035810206,-0.9954029114770586,0.5414422272627447
-0.001474160035810206,-0.9943932361587001,0.5360296237009571
-0.001473800035810206,-0.9950663530376058,0.5306170201391696
-0.001473440035810206,-0.9947297945981529,0.5241895534095468
-0.001473080035810206,-0.9943932361587001,0.5187769498477591
-0.001472720035810206,-0.9940566777192473,0.5137026340085832
-0.001472360035810206,-0.9933835608403425,0.5082900304467936
-0.001472000035810206,-0.9954029114770577,0.5035540023302336
-0.001471640035810206,-0.9947297945981529,0.4988179742136672
-0.001471280035810206,-0.9954029114770586,0.4940819460971031
-0.001470920035810206,-0.9950663530376058,0.4893459179805389
-0.001470560035810206,-0.9954029114770586,0.4835950266961396
-0.001470200035810206,-0.9954029114770586,0.4778441354117403
-0.001469840035810206,-0.9954029114770583,0.4720932441273386
-0.001469480035810206,-0.9947297945981532,0.4670189282881674
-0.001469120035810206,-0.9943932361587001,0.4616063247263774
-0.001468760035810206,-0.9957394699165115,0.4575468720550367
-0.001468400035810206,-0.9950663530376058,0.4521342684932491
-0.001468040035810206,-0.99674914523487,0.447398240376685
-0.001467680035810206,-0.9970857036743229,0.4406324859244504
-0.001467320035810206,-0.9954029114770585,0.4358964578078841
-0.001466960035810206,-0.9950663530376059,0.4311604296913243
-0.001466600035810206,-0.9954029114770586,0.4260861138521462
-0.001466240035810206,-0.9950663530376058,0.4223649489034172
-0.001465880035810206,-0.9940566777192473,0.4176289207868531
-0.001465520035810206,-0.9943932361587001,0.4128928926702889
-0.001465160035810206,-0.9960760283559643,0.4071420013858896
-0.001464800035810206,-0.9977588205532282,0.4020676855467115
-0.001464440035810206,-0.9970857036743233,0.3973316574301517
-0.001464080035810206,-0.9977588205532285,0.3925956293135854
-0.001463720035810206,-0.9950663530376058,0.3871830257517977
-0.001463360035810206,-0.9947297945981529,0.3827852853578453
-0.001463000035810206,-0.9947297945981529,0.3773726817960577
-0.001462640035810206,-0.9957394699165115,0.3726366536794936
-0.001462280035810206,-0.9964125867954172,0.3675623378403177
-0.001461920035810206,-0.9967491452348699,0.3631645974463673
-0.001461560035810206,-0.9960760283559643,0.3577519938845776
-0.001461200035810206,-0.9954029114770586,0.3536925412132369
-0.001460840035810206,-0.9943932361587001,0.3489565130966727
-0.001460480035810206,-0.9940566777192473,0.3435439095348851
-0.001460120035810206,-0.9943932361587001,0.3384695936957093
-0.001459760035810206,-0.9933835608403416,0.3337335655791451
-0.001459400035810206,-0.9960760283559631,0.3296741129078062
-0.001459040035810206,-0.9943932361587001,0.3273060988495223
-0.001458680035810206,-0.9937201192797944,0.321555207565123
-0.001458320035810206,-0.9954029114770586,0.3164808917259471
-0.001457960035810206,-0.9964125867954172,0.3117448636093829
-0.001457600035810206,-0.9950663530376058,0.306670547770207
-0.001457240035810206,-0.9970857036743229,0.302949382821478
-0.001456880035810206,-0.9964125867954168,0.2971984915370766
-0.001456520035810206,-0.9954029114770586,0.2924624634205146
-0.001456160035810206,-0.9957394699165115,0.2877264353039504
-0.001455800035810206,-0.9970857036743229,0.283328694909998
-0.001455440035810206,-0.9957394699165115,0.2789309545160455
-0.001455080035810206,-0.9954029114770586,0.2745332141220931
-0.001454720035810206,-0.9974222621137757,0.2701354737281407
-0.001454360035810206,-0.997422262113775,0.2667525965020213
-0.001454000035810206,-0.996076028355965,0.2620165683854614
-0.001453640035810206,-0.9947297945981529,0.2559273893784482
-0.001453280035810206,-0.99674914523487,0.2528827998749427
-0.001452920035810206,-0.9964125867954172,0.2471319085905433
-0.001452560035810206,-0.9964125867954172,0.2437490313644261
-0.001452200035810206,-0.9974222621137757,0.2396895786930854
-0.001451840035810206,-0.9980953789926813,0.236644989189578
-0.001451480035810206,-0.9977588205532286,0.232585536518241
-0.001451120035810206,-0.9970857036743229,0.2264963575112281
-0.001450760035810206,-0.9964125867954172,0.2210837539494405
-0.001450400035810206,-0.9970857036743229,0.2183774521685466
-0.001450040035810206,-0.9977588205532285,0.2146562872198177
-0.001449680035810206,-0.9970857036743229,0.2095819713806418
-0.001449320035810206,-0.997422262113775,0.2055225187092985
-0.001448960035810206,-0.996076028355965,0.1997716274249043
-0.001448600035810206,-0.9960760283559643,0.1963887501987845
-0.001448240035810206,-0.9950663530376058,0.1916527220822203
-0.001447880035810206,-0.9950663530376058,0.1886081325787148
-0.001447520035810206,-0.9950663530376058,0.1852252553525975
-0.001447160035810206,-0.9950663530376058,0.1794743640681982
-0.001446800035810206,-0.9970857036743234,0.1750766236742442
-0.001446440035810206,-0.998095378992681,0.17169374644813
-0.001446080035810206,-0.9960760283559643,0.1672960060541761
-0.001445720035810206,-0.9964125867954172,0.1628982656602236
-0.001445360035810206,-0.9984319374321342,0.1585005252662712
-0.001445000035810206,-0.9957394699165115,0.1547793603175422
-0.001444640035810206,-0.9964125867954172,0.1517347708140367
-0.001444280035810206,-0.9960760283559646,0.1466604549748586
