#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE070F
#Date Time: 2025-04-23 09:31:56.138
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#
#Time (s),Channel 1 (V),Channel 2 (V)
-0.00512,7.031935098497779,-0.00138334535060637
-0.00511875,7.031935098497779,-0.001717984887848285
-0.0051175,7.03193509849778,-0.001717984887848589
-0.00511625,7.035651460798463,-0.002387263962332115
-0.005115,7.031935098497779,-0.0020526244250902
-0.00511375,7.031935098497779,-0.0020526244250902
-0.0051125,7.031935098497779,-0.001717984887848285
-0.00511125,7.031935098497779,-0.002387263962331811
-0.00511,7.035651460798463,-0.0020526244250902
-0.00510875,7.035651460798465,-0.0020526244250902
-0.0051075,7.039367823099147,-0.0020526244250902
-0.00510625,7.039367823099145,-0.002387263962331963
-0.005105,7.035651460798463,-0.0020526244250902
-0.00510375,7.031935098497779,-0.001717984887848285
-0.0051025,7.035651460798463,-0.001717984887848285
-0.00510125,7.039367823099147,-0.001048705813364455
-0.0051,7.031935098497782,-0.001717984887847981
-0.00509875,7.039367823099147,-0.001717984887848285
-0.0050975,7.035651460798463,-0.001717984887848285
-0.00509625,7.035651460798463,-0.001717984887848285
-0.005095,7.039367823099145,-0.001717984887848437
-0.00509375,7.035651460798463,-0.0020526244250902
-0.0050925,7.031935098497779,-0.0020526244250902
-0.00509125,7.035651460798461,-0.001717984887848437
-0.00509,7.035651460798463,-0.0020526244250902
-0.00508875,7.035651460798463,-0.0020526244250902
-0.0050875,7.035651460798463,-0.0020526244250902
-0.00508625,7.035651460798461,-0.001717984887848285
-0.005085,7.031935098497779,-0.001717984887848285
-0.00508375,7.028218736197095,-0.00138334535060637
-0.0050825,7.028218736197095,-0.001717984887848285
-0.00508125,7.028218736197095,-0.0020526244250902
-0.00508,7.028218736197095,-0.0020526244250902
-0.00507875,7.028218736197095,-0.001717984887848285
-0.0050775,7.031935098497777,-0.002052624425090048
-0.00507625,7.031935098497779,-0.001717984887848285
-0.005075,7.03193509849778,-0.001717984887848437
-0.00507375,7.035651460798463,-0.0020526244250902
-0.0050725,7.035651460798463,-0.0020526244250902
-0.00507125,7.039367823099147,-0.0020526244250902
-0.00507,7.035651460798463,-0.002387263962332115
-0.00506875,7.035651460798463,-0.002721903499573878
-0.0050675,7.035651460798463,-0.002387263962332115
-0.00506625,7.03193509849778,-0.002387263962331963
-0.005065,7.035651460798463,-0.0020526244250902
-0.00506375,7.03193509849778,-0.001717984887848589
-0.0050625,7.035651460798463,-0.002387263962332115
-0.00506125,7.035651460798463,-0.001717984887848285
-0.00506,7.035651460798463,-0.001717984887848285
-0.00505875,7.035651460798463,-0.0020526244250902
-0.0050575,7.035651460798463,-0.001383345350606675
-0.00505625,7.035651460798463,-0.001717984887848285
-0.005055,7.028218736197097,-0.001717984887848285
-0.00505375,7.031935098497779,-0.001717984887848285
-0.0050525,7.035651460798465,-0.002052624425090353
-0.00505125,7.039367823099147,-0.002387263962332115
-0.00505,7.039367823099147,-0.001717984887848285
-0.00504875,7.035651460798465,-0.002052624425090048
-0.0050475,7.031935098497779,-0.0020526244250902
-0.00504625,7.028218736197097,-0.0020526244250902
-0.005045,7.031935098497779,-0.0020526244250902
-0.00504375,7.035651460798461,-0.001717984887848437
-0.0050425,7.031935098497779,-0.0020526244250902
-0.00504125,7.031935098497779,-0.002387263962332115
-0.00504,7.035651460798463,-0.002387263962332115
-0.00503875,7.031935098497779,-0.0020526244250902
-0.0050375,7.031935098497779,-0.002387263962331963
-0.00503625,7.035651460798463,-0.002387263962332115
-0.005035,7.03193509849778,-0.002052624425090353
-0.00503375,7.031935098497779,-0.0020526244250902
-0.0050325,7.035651460798465,-0.002052624425090353
-0.00503125,7.039367823099147,-0.002387263962332115
-0.00503,7.031935098497779,-0.001717984887848285
-0.00502875,7.031935098497779,-0.0020526244250902
-0.0050275,7.031935098497779,-0.00272190349957403
-0.00502625,7.035651460798461,-0.002387263962332267
-0.005025,7.039367823099147,-0.0020526244250902
-0.00502375,7.031935098497779,-0.001717984887848285
-0.0050225,7.031935098497779,-0.001717984887848285
-0.00502125,7.035651460798461,-0.001717984887848133
-0.00502,7.031935098497779,-0.00138334535060637
-0.00501875,7.031935098497779,-0.001717984887848285
-0.0050175,7.035651460798463,-0.0020526244250902
-0.00501625,7.031935098497779,-0.001717984887848285
-0.005015,7.028218736197097,-0.001717984887848285
-0.00501375,7.035651460798463,-0.001717984887848285
-0.0050125,7.031935098497782,-0.001717984887848437
-0.00501125,7.039367823099147,-0.0020526244250902
-0.00501,7.035651460798459,-0.0020526244250902
-0.00500875,7.028218736197095,-0.0020526244250902
-0.0050075,7.031935098497779,-0.001717984887848285
-0.00500625,7.031935098497779,-0.0020526244250902
-0.005005,7.031935098497779,-0.00272190349957403
-0.00500375,7.035651460798461,-0.002387263962332267
-0.0050025,7.031935098497779,-0.002387263962332115
-0.00500125,7.028218736197097,-0.002387263962331963
-0.005,7.031935098497779,-0.0020526244250902
-0.00499875,7.031935098497779,-0.0020526244250902
-0.0049975,7.035651460798463,-0.0020526244250902
-0.00499625,7.039367823099147,-0.001717984887848285
-0.004995,7.035651460798465,-0.002052624425090048
-0.00499375,7.035651460798463,-0.0020526244250902
-0.0049925,7.035651460798463,-0.0020526244250902
-0.00499125,7.031935098497779,-0.00138334535060637
-0.00499,7.028218736197097,-0.001717984887848285
-0.00498875,7.031935098497779,-0.001717984887848285
-0.0049875,7.035651460798463,-0.001717984887848285
-0.00498625,7.031935098497779,-0.002387263962332115
